verbatimScientificName,species,FinalNameInDatabase,FinalSubspeciesInDatabase,ReasonOfUnmatch
"Artogeia rapae crucivora Boisduval, 1836",Pieris rapae,Pieris rapae,,Synonym
"Artogeia rapae cruvicora (Boisduval,1836)",Pieris rapae,Pieris rapae,,Synonym
Athyma,,NA,,No species name
Athyma apalina hirayamai (Matsumura),,Athyma opalina,,Spelling mistake
Athyma cosmia,Pantoporia bruijni,Tarattia cosmia,,WONG synonym
Athyma daraxa theoda,,Parasarpa daraxa,,Synonym
Athyma epimethis,Pantoporia epimethis,Athyma kasa,epimethis,Synonym
Athyma indet.,,NA,,No species name
"Athyma lyncides (Hewitson, 1859)",,Lamasia lyncides,,Synonym
Athyma prabara helma (Fruhstorfer),Parathyma pravara,Athyma pravara,,Spelling mistake
Athyma selenoophora laela (Fruhstorfer),Parathyma selenophora,Athyma selenophora,,Spelling mistake
Atrophaneura atropos,Pachliopta atropos,Pachliopta atropos,,Synonym
Atrophaneura horishana,Atrophaneura horishanus,Atrophaneura horishanus,,Synonym
Atrophaneura horishana (Matsumura),Atrophaneura horishanus,Atrophaneura horishanus,,Synonym
"Atrophaneura horishana (Matsumura, 1910)",Atrophaneura horishanus,Atrophaneura horishanus,,Synonym
Atrophaneura jophon,Pachliopta jophon,Pachliopta jophon,,Synonym
"Atrophaneura kotzebuea (Eschscholtz, 1821)",Pachliopta kotzebuea,Pachliopta kotzebuea,,Synonym
Atrophaneura leytensis,Pachliopta leytensis,Pachliopta phegeus,,Synonym
Atrophaneura liris,,Pachliopta liris,,Synonym
Atrophaneura mariae,Pachliopta mariae,Pachliopta mariae,,Synonym
"Atrophaneura mariae (Semper, 1878)",Pachliopta mariae,Pachliopta mariae,,Synonym
"Atrophaneura pandiyana (Moore, 1881)",Pachliopta pandiyana,Pachliopta pandiyana,,Synonym
Atrophaneura polyphontes,Pachliopta polyphontes,Pachliopta polyphontes,,Synonym
Atrophaneura schadenbergi,Pachliopta schadenbergi,Pachliopta schadenbergi,,Synonym
"Atrophaneura strandi (Bryk, 1930)",,,,
Aulocera,,NA,,No species name
Aulocera iole,,,,
Aulocera saraswati,,,,
"Aulocera saraswati Kollar, 1844",,,,
Aurivittia aurivittata,,Celaenorrhinus aurivittata,,Synonym
Aurivittia cameroni,,Celaenorrhinus cameroni,,Synonym
Aurivittia vietnamicus,,Celaenorrhinus vietnamicus,,Synonym
"Autopoetes pryeri (Murray, 1873)",Artopoetes pryeri,Artopoetes pryeri,,Spelling mistake
Azanus sp. BIOUG05251-G12,,NA,,No species name
Azanus sp. BIOUG16241-G03,,NA,,No species name
Azanus sp. BIOUG21682-D01,,NA,,No species name
Badmia exclamationis (Fabricius),Badamia exclamationis,Badamia exclamationis,,Spelling mistake
Baorini,,NA,,No species name
Baoris,,NA,,No species name
Baracus hampsoni,Baracus vittatus,Baracus vittatus,,Synonym
Baracus subditus,Baracus vittatus,Baracus vittatus,,Synonym
Basarona teuta tiomanica,Bassarona teuta,Euthalia teuta,,Spelling mistake
Bassarona spp.,,NA,,No species name
Belenois,,NA,,No species name
Bibasis aphrodite,,,,
"Bibasis mahinta Moore, 1874",,Bibasis mahintha,,Spelling mistake
Bindahara moorei,Bindahara phocides,Bindahara phocides,,Synonym
"Bindahara moorei Fruhstorfer, 1904",Bindahara phocides,Bindahara phocides,,Synonym
Bletogona inexspectata,,,,
Bletogona spp.,,NA,,No species name
Boloria sp.,,NA,,No species name
Borbo,,NA,,No species name
Borbo cinnara(Wallace),Borbo cinnara,Borbo cinnara,,Synonym
"Borbo cinnarra (Wallace, 1866)",Borbo cinnara,Borbo cinnara,,Spelling mistake
Burara owstoni,,,,
Byasa  alcinous,Byasa alcinous,Atrophaneura alcinous,,Typo
Byasa confusa,Byasa confusus,Atrophaneura confusus,,Synonym
Byasa philoxenus Gray,,Atrophaneura polyeuctes,,Synonym
"Byasa sp. Moore, 1882",,NA,,No species name
C. lavendalaris limbata,,Celastrina lavendularis,,Genus name not stated
C. n. andersone (Distant),,NA,,No species name
Caleta,,NA,,No species name
Caleta angola,,NA,,No species name
Calinaga,,NA,,No species name
Calinaga brahma,Calinaga buddha,Calinaga buddha,,Synonym
Calinaga gautama,Calinaga buddha,,,Synonym?
"Calinaga gautama Moore, 1901",Calinaga buddha,,,Synonym?
"Callenya Eliot & Kawazoe, 1983",,NA,,No species name
Callerebia ananda,Callerebia annada,Callerebia annada,,Spelling mistake
Callinaga buddha,Calinaga buddha,Calinaga buddha,,Spelling mistake
"Callltoris bromus yanuca (Fruhstorfer, 1911)",Caltoris bromus,Caltoris bromus,,Spelling mistake
"Callltoris cahira austeni (Moore, 1883)",Caltoris cahira,Caltoris cahira,,Spelling mistake
"Callltoris ranrunna (Sonan, 1936)",Caltoris bromus,Caltoris cahira,,WRONG synonym; Spelling mistake
Callophrys ferrea,,Callophrys coerulescens,,Synonym
"Callophrys ferrea  (Butler), 1866",,Callophrys coerulescens,,Synonym
"Callophrys ferrea  (Butler),1866",,Callophrys coerulescens,,Synonym
Callophrys ferrea (Butler),,Callophrys coerulescens,,Synonym
"Callophrys ferrea (Butler), 1866",,Callophrys coerulescens,,Synonym
"Callophrys ferrea (Butler, 1866)",,Callophrys coerulescens,,Synonym
"Callophrys ferrea ferrea (Butler, 1866)",,Callophrys coerulescens,,Synonym
Caltoris,,NA,,No species name
Caltoris ranrunna,Caltoris bromus,Caltoris cahira,,WRONG synonym
Caltoris septentrionalis,,,,
Caltoris spec.,,NA,,No species name
Candalides,,NA,,No species name
Caprona ransonnetti,Caprona ransonnettii,Caprona ransonnetii,,Spelling mistake
Castaliina,,NA,,No species name
"Castopsilia pomona (Fabricius, 1775)",,Catopsilia pomona,,Spelling mistake
"Catapoecilma major Druce, 1895",Catapaecilma major,Catapaecilma major,,Spelling mistake
Catapsilia pomona Fabricius,Catopsilia pomona,Catopsilia pomona,,Spelling mistake
Catapsilla pomona,Catopsilia pomona,Catopsilia pomona,,Spelling mistake
Catochrysops,,NA,,No species name
Catopsilia,,NA,,No species name
Catopsilia spec.,,NA,,No species name
"Catopyrops Toxopeus, 1929",,NA,,No species name
CChitoria chrysolona (Fruhstorfer),,Chitoria chrysolora,,Spelling mistake
Celaenorrhinus,,NA,,No species name
Celaenorrhinus fusca,,Celaenorrhinus ruficornis,,Synonym
Celaenorrhinus maculosus taiwanus,Celaenorrhinus maculosa,Celaenorrhinus maculosa,,Synonym
"Celaenorrhinus maculosus taiwanus Matsumura, 1919",Celaenorrhinus maculosa,Celaenorrhinus maculosa,,Synonym
Celaenorrhinus spec.,,NA,,No species name
Celastrina,,NA,,No species name
Celastrina acesina,,,,
Celastrina albocaerulea,Celastrina albocoeruleus,Epimastidia arienis,bornemanni,WRONG synonym
Celastrina albocaerulea albocaerulea,Celastrina albocoeruleus,Epimastidia arienis,bornemanni,WRONG synonym
Celastrina albocaerulea albocaerulea (Moore),Celastrina albocoeruleus,Epimastidia arienis,bornemanni,WRONG synonym
"Celastrina albocaerulea albocaerulea (Moore, 1879)",Celastrina albocoeruleus,Epimastidia arienis,bornemanni,WRONG synonym
Celastrina algemoni kadazanensis Barloet al.,,Celastrina algernoni,,Spelling mistake
Celastrina argidus caphis (Fruhs.),Celastrina argiolus,Celastrina argiolus,,Spelling mistake
Celastrina labendularis himilcon Fruhs.,Celastrina lavendularis,Celastrina lavendularis,,Spelling mistake
Celastrina ladonides argiolus,,Celastrina argiolus,,Synonym
