verbatimScientificName,species,FinalNameInDatabase,FinalSubspeciesInDatabase,ReasonOfUnmatch
"Everes diporides Chapman, 1908",Elkalyce argiades,Cupido argiades,,Synonym
Everes hellotia argiades,,Cupido argiades,,Synonym
Everes hugelii dipora,,,,
Everes hugelii hugelii,,,,
Everest lacturnus,Everes lacturnus,Cupido lacturnus,,Spelling mistake
Fabriciana  adippe,Fabriciana adippe,Argynnis adippe,,Typo
Fabriciana addipe pallescens,Fabriciana adippe,Argynnis adippe,,Spelling mistake
"Fabriciana vorax (Butler, 1871)",,,,
Famegana,,NA,,No species name
"Famegana putil (Kollar, [1844])",,Freyeria putli,,Synonym; Spelling mistake
"Faunis caelestis Monastyrskii & Lang, 2016",,,,
Faunis spp.,,NA,,No species name
Favonius aurorinus (Oberthur),,Neozephyrus taxila,,Synonym
"Favonius aurorinus (Oberthur, 1880)",,Neozephyrus taxila,,Synonym
Favonius latifasciatus Shirozu et Hayashi,,Neozephyrus cognata,,Synonym
Favonius leechi,Favonius orientalis,Neozephyrus orientalis,,Synonym
Favonius saphirinus (Staudinger),Favonius saphirina,,,
"Favonius saphirinus (Staudinger, 1887)",Favonius saphirina,,,
"Favonius saphirinus (Staudinger, 1892)",Favonius saphirina,,,
Favonius ultramarinus,Favonius ultramarina,Neozephyrus ultramarina,,Synonym
Favonius ultramarinus (Fixsen),Favonius ultramarina,Neozephyrus ultramarina,,Synonym
"Favonius ultramarinus (Fixsen, 1887)",Favonius ultramarina,Neozephyrus ultramarina,,Synonym
Favonius ultramarinus ultramarinus,Favonius ultramarina,Neozephyrus ultramarina,,Synonym
Fixenia mera,,,,
Fixsenia mera,,,,
Flas asoka de Niceville,,Flos asoka,,Spelling mistake
Flos kuehni,,,,
Gerosis celebica,,,,
Gondaca harina distanti Fruhstorfer,Gandaca harina,Gandaca harina,,Spelling mistake
Gonepteryx  aspasia,Gonepteryx aspasia,Gonepteryx aspasia,,Typo
Gonepteryx nepalensis,,,,
"Gonepteryx nepalensis Doubleday, 1847",,,,
Graphium,,NA,,No species name
Graphium  doson,Graphium doson,Graphium doson,,Typo
Graphium  sarpedon,Graphium sarpedon,Graphium sarpedon,,Typo
"Graphium (Pazala) alebion Gray, 1852",Graphium alebion,Graphium alebion,,Synonym
"Graphium (Pazala) mandarinus paphus de Nicéville, 1886",Graphium mandarinus,Graphium mandarinus,,Synonym
Graphium batjanensis (Okano 1984),,,,
"Graphium batjanensis Okano, 1984",,,,
Graphium codros,Graphium codrus,Graphium codrus,,Spelling mistake
Graphium evernon eventus,Graphium evemon,Graphium evemon,,Spelling mistake
Graphium felixi,,Graphium thule,,Synonym
"Graphium glycerion phangana (Okano, 1986)",,Graphium mandarinus,paphus,Synonym
Graphium indet.,,NA,,No species name
Graphium isander,,Graphium sarpedon,,Synonym
Graphium jugans,,Graphium sarpedon,,Synonym
Graphium jugans kawaimitsuoi,,Graphium sarpedon,,Synonym
Graphium macfarlaneii seminigra,Graphium macfarlanei,Graphium macfarlanei,,Spelling mistake
"Graphium macleayanum subsp. macleayanum (Leach, 1814)",Graphium macleayanus,Graphium macleayanus,,Spelling mistake
Graphium mandarina,Graphium mandarinus,Graphium mandarinus,,Synonym
Graphium monticolum,Graphium monticolus,Graphium anthedon,monticolus,Spelling mistake; Synonym
Graphium nipponum sarpedon,,Graphium sarpedon,,Synonym
Graphium sallastius,,Graphium eurypylus,,Synonym
"Graphium Scopoli, 1777",,NA,,No species name
"Graphium sumatranum (Hagen, 1894)",,Graphium cloanthus,,Synonym
"Graphium sumatranum Hagen, 1894",,Graphium cloanthus,,Synonym
Halpe,,NA,,No species name
"Halpe ? Moore, 1878",,NA,,No species name
Halpe ceylonica,Halpe homolea,Halpe homolea,,Synonym
Halpe hindu,Halpe homolea,Halpe homolea,,Synonym
"Halpe hindu Evans, 1937",Halpe homolea,Halpe homolea,,Synonym
Halpe zinda zodia,Halpe zema,Halpe zema,,Synonym
Halpemorpha albipectus,,Sovia albipectus,,Synonym
Halpemorpha hyrtacus,,Sovia hyrtacus,,Synonym
Hasora,,NA,,No species name
Hasora discolora,Hasora discolor,Hasora discolor,,Spelling mistake
Hasora humara,Hasora hurama,Hasora hurama,,Spelling mistake
"Hasora sp. Moore, [1881]",,NA,,No species name
Hbomoia glucippe formosana Fruhstorfer,,Hebomoia glaucippe,,Spelling mistake
"Hebomoia glaucipe liukiuensis Fruhstorer,1898",Hebomoia glaucippe,Hebomoia glaucippe,,Spelling mistake
Helcyra spp.,,NA,,No species name
Heliophorus,,NA,,No species name
Heliophorus indet.,,NA,,No species name
Heliophorus saphiroides,,,,
Heliophorus spec.,,NA,,No species name
Hemadara ruricola,,,,
Hemadara rurigena,,,,
Hemadara seitzi,Erebia seitzi,,,
Hesperiidae,,NA,,No species name
HESPERIIDAE,,NA,,No species name
Hesperiidae gen. sp. ACU7025,,NA,,No species name
Hesperiidae indet.,,NA,,No species name
"Hesperiidae Latreille, 1809",,NA,,No species name
Hesperiidae sp. BOLD:AAL8337,,NA,,No species name
Hesperiidae sp. BOLD:AAN3358,,NA,,No species name
Hesperiidae sp. BOLD:ACN0474,,NA,,No species name
Hesperiinae,,NA,,No species name
"Hesperiinae Latreille, 1809",,NA,,No species name
Hestina  japonica,Hestina japonica,Apatura metis,substituta,Typo; CHECK validity of synonym
Hestina minetica carolinae Shellen,Hestinalis mimetica,Hestinalis mimetica,,Spelling mistake
Hestina minetica ravanella Fr.,Hestinalis mimetica,Hestinalis mimetica,,Spelling mistake
Horaga viola,Horaga albimacula,Horaga albimacula,,Synonym
Horsfieldia anita,,Amblypodia anita,,Synonym
Howarthia sugiyamai,,,,
Hyarotis sp. 1MKC,,NA,,No species name
Hypochrisops hypocletus,Hypochrysops rex,Hypochrysops polycletus,rex,Synonym
Hypochrysops hypocletus,Hypochrysops rex,Hypochrysops polycletus,rex,Synonym
Hypochrysops sp. ACN1400,,NA,,No species name
Hypochrysops sp. BOLD:AAL8356,,NA,,No species name
Hypochrysops sp. BOLD:ACN1400,,NA,,No species name
Hypolimnas,,NA,,No species name
"Hypolimnas missipus (Linnaeus, 1764)",Hypolimnas misippus,Hypolimnas misippus,,Spelling mistake
Hypolimnas pandorus pandora,Hypolimnas pandarus,Hypolimnas pandarus,,Spelling mistake
Hypolimnas saundersii,Hypolimnas saundersi,Hypolimnas saundersi,,Spelling mistake
Hypolimnas spec.,,NA,,No species name
Hypolycaena,,NA,,No species name
"Hypolycaena C & R Felder, 1862",,NA,,No species name
Hypolycaena erlus teatus Fruhstorfer,Hypolycaena erylus,Hypolycaena erylus,,Spelling mistake
Hypolycaena pahanga,,,,
Hypolycaena shirozui,,,,
Hypolycaena xenia,,,,
Hypolymnas misippus,Hypolimnas misippus,Hypolimnas misippus,,Spelling mistake
Hyponephele brevistigma,Hyponephele davendra,Hyponephele davendra,,Synonym
Hyponephele pulchella,Hyponephele hilaris,,,Synonym?
"Hyponephele pulchella (C. Felder & R. Felder, 1867)",Hyponephele hilaris,,,Synonym?
Hyponephele pulchra,Hyponephele hilaris,,,
Iambrix,,NA,,No species name
Iambrix salsara salsara (Moore),Iambrix salsala,Iambrix salsala,,Spelling mistake
"Idaeopsis gaura (Horsfiels, 1829)",,Ideopsis gaura,,Spelling mistake
Idea blanchardi,Idea blanchardii,Idea blanchardii,,Spelling mistake
"Idea blanchardi Marchal, 1845",Idea blanchardii,Idea blanchardii,,Spelling mistake
"Idea blanchardi subsp. marosiana Marchal, 1845",Idea blanchardii,Idea blanchardii,,Spelling mistake
"Idea Fabricius, 1807",,NA,,No species name
"Ideopsis ? similis (Linnaeus, 1758)",Ideopsis similis,Ideopsis similis,,Typo
Ideopsis citrea arachaosia (Fruhstorfer),,Ideopsis vitrea,,Spelling mistake
Igeopsis gaura Horsfield,Ideopsis gaura,Ideopsis gaura,,Spelling mistake
Inachis  io,Aglais io,Aglais io,,Typo
indet.,,NA,,No species name
Isoteinon  lamprospilus,Isoteinon lamprospilus,Isoteinon lamprospilus,,Typo
"Isoteinon lamprospillus formosanus Fruhstorfer, 1911",Isoteinon lamprospilus,Isoteinon lamprospilus,,Spelling mistake
Issoria isaea,,Issoria lathonia,,Synonym; Spelling mistake
Issoria issaea,,Issoria lathonia,,Synonym
Issoria mackinnonii,,,,
Ixias reinwardti,Ixias reinwardtii,Ixias reinwardtii,,Spelling mistake
Ixias spp.,,NA,,No species name
Jalmenus evagoras,Jalmenus evagoras,,,
Jameela palmyra,,,,
Jamides,,NA,,No species name
Jamides aeleno aelianus (F.),,Jamides celeno,,Spelling mistake
Jamides aritai,Jamides espada,,,Synonym?
"Jamides butleri (Rothschild, 1915)",,,,
Jamides Caeruleus caeruleus (Druce),Jamides caerulea,Jamides caerulea,,Synonym
Jamides coruscans,,,,
Jamides festivus,,,,
Jamides kankena,,,,
Jamides minor,Jamides cyta,Jamides aruensis,,Synonym
Jamides nemophilus,Jamides nemophila,Jamides nemophila,,Synonym
"Jamides nr. soemias (Druce, 1891)",Jamides soemias,Jamides soemias,,Synonym
Jamides snelleni,,,,
japonica,,NA,,No species name
Japonica,,NA,,No species name
Japonica sp.,,NA,,No species name
Junonia,,NA,,No species name
"Junonia Hubner, 1819",,NA,,No species name
Junonia indet.,,NA,,No species name
Junonia intermedia,,,,
"Junonia intermedia (C & R Felder, 1867)",,,,
"Junonia intermedia (Felder & Felder, 1867)",,,,
Junonia iphitaadelaida Staudinger,Junonia iphita,Junonia iphita,,Typo
Junonia orithya(Linnaeus),Junonia orithya,Junonia orithya,,Synonym
Junonia orithyas orithya  Linnaeus,Junonia orithya,Junonia orithya,,Spelling mistake
Junonia orythya metion,Junonia orithya,Junonia orithya,,Spelling mistake
Junonia sp. 1MKC,,NA,,No species name
Jurionia iphita tosca (Fruhstorfer),,Junonia iphita,,Spelling mistake
Kallima,,NA,,No species name
Kallima buxtoni,,,,
Kallima inachis formosana,Kallima inachus,Kallima inachus,,Spelling mistake
Kallima limborgi,Kallima paralekta,,,
Kallima philarchus,Kallima horsfieldii,Kallima horsfieldii,,Synonym
Kallima spp.,,NA,,No species name
Kaniska  canace,Kaniska canace,Kaniska canace,,Typo
"kaniska canace ishima (Fruhstorfer), 1899",Kaniska canace,Kaniska canace,,Typo
Kaniska nojaponicum canace,,Kaniska canace,,Synonym
Koruthaialos rubecvla hector Watson,Koruthaialos rubecula,Koruthaialos rubecula,,Spelling mistake
"Kuekenthaliella altissima (Elwes, 1882)",,,,
"Kuekenthaliella mackinnonii (de Nicéville, 1891)",,,,
Labythea celtoides celtis,,Libythea lepita,,Synonym; Spelling mistake
Ladoga  camilla,Ladoga camilla,Limenitis camilla,,Typo
Ladoga  glorifica,,,,
Ladoga glorifica,,,,
Ladoga glorifica (Fruhstorfer),,,,
"Ladoga glorifica (Fruhstorfer, 1909)",,,,
Ladoga japonica camilla,,Limenitis camilla,,Synonym
Ladoga sulpitia tricula (Fruhstorfer),,Limenitis sulpitia,,Synonym
Lampides,,NA,,No species name
Lampides  boeticus,Lampides boeticus,Lampides boeticus,,Typo
Lamproptera,,NA,,No species name
Landoga camilla japonica,,Limenitis camilla,,Synonym; Spelling mistake
Laringa castelnavi castelnaci (C. & R. Felder),Laringa castelnaui,Laringa castelnaui,,Spelling mistake
Lasiommata  deidamia,Lasiommata deidamia,Lopinga deidamia,,Typo
Lasiommata menava,Pararge maera,,,Synonym?
Lasiommata minuscula,,,,
ldea leucone clara,,Idea leuconoe,,Spelling mistake
Lebdea martha parkeri Eliot,Lebadea martha,Lebadea martha,,Spelling mistake
Lebomoia glaucippe aturia Fruhstorfer,,Hebomoia glaucippe,,Spelling mistake
Leptosia,,NA,,No species name
"Leptotes Scudder, 1876",,NA,,No species name
Lethe,,NA,,No species name
Lethe  diana,Lethe diana,Lethe diana,,Typo
Lethe  sicelis,Lethe sicelis,Lethe sicelis,,Typo
"Lethe Hubner, 1819",,NA,,No species name
Lethe isana,,Lethe hyrania,,Spelling mistake
"Lethe isana (Kollar, [1844])",,Lethe hyrania,,Spelling mistake
Lethe isana isana,,Lethe hyrania,,Spelling mistake
"Lethe scelis (Hewitson,[1862])",,,,
"Lethe sicelides Grose-Smith, 1893",Lethe hecate,,,Synonym?
"Lethe sielis (Hewiton, [1862])",,,,
Lethe uemurai,,,,
Lethe yunnana,,,,
"Leucantigus atayalicus (Shirôzu & Murayama, 1943)",Leucantigius atayalica,Leucantigius atayalica,,Spelling mistake; Synonym
Lexias,,NA,,No species name
Lexias perdalis,Lexias pardalis,Lexias pardalis,,Spelling mistake
Lexias perdix,,,,
Lexias spp.,,NA,,No species name
Libythea,,NA,,No species name
Libythea  celtis,Libythea celtis,Libythea celtis,,Typo
Libythea celtoides celtis,,Libythea lepita,,Synonym
Libythea indet.,,NA,,No species name
Limenitidinae,,NA,,No species name
Limenitis asura baelia,Limenitis asura,Athyma asura,,Typo
"Limenitis cottoni Oberthur, 1884",Limenitis cottini,Limenitis cottini,,Spelling mistake
Limenitis glorifica,Ladoga camilla,,,Synonym?
Liphyra,,NA,,No species name
Lohora erna,,,,
Lohora haasei,,,,
Lohora ophthalmica,Lohora ophthalmicus,Lohora ophthalmicus,,Synonym
Lonolyce helicon mergiana Moore,,Ionolyce helicon,,Spelling mistake
Lopinga catena,,,,
Lopinga nemorum,,,,
Losaria (Atrophaneura) neptunus,Losaria neptunus,Atrophaneura neptunus,,Synonym
Loxerebia albipuncta,Loxerebia saxicola,,,Synonym?
Loxerebia ypthimoides,,,,
Loxura,,NA,,No species name
Loxura atymus,Loxura atymnus,Loxura atymnus,,Spelling mistake
Lrptosia nina niobe (Wallace),Leptosia nina,Leptosia nina,,Spelling mistake
Luthrodes buruana,,,,
Lycaena  phlaeas,Lycaena phlaeas,Lycaena phlaeas,,Typo
"Lycaena phaeas daimio (Matsumura,1919)",Albulina pharis,Lycaena phlaeas,,WRONG synonym; Spelling mistake
"Lycaena sichuanica Bozano & Weidenhoffer, 2001",,,,
Lycaenidae,,NA,,No species name
Lycaenidae indet.,,NA,,No species name
"Lycaenidae Leach, 1815",,NA,,No species name
Lycaenidae sp. TNAULY201400175,,NA,,No species name
Lycaenopsina,,NA,,No species name
Matapa deprivata,,,,
Mechanitis,,NA,,No species name
Megisba,,NA,,No species name
Megisha malaya sikkima,Megisba malaya,Megisba malaya,,Spelling mistake
Melanitis,,NA,,No species name
Melanitis  phedima,Melanitis phedima,Melanitis phedima,,Typo
Melantis amabilis amabilis,Melanitis amabilis,Melanitis amabilis,,Spelling mistake
Melantis phedima polishana Fruhstorfer,Melanitis phedima,Melanitis phedima,,Spelling mistake
Melitaea amoenula,Melitaea arcesia,,,Synonym?
Melitaea sindura,Melitaea arcesia,,,Synonym?
"Melitaea sindura Moore, 1865",Melitaea arcesia,,,Synonym?
Meope niphonica niphonica Butler,,Neope niphonica,,Spelling mistake
Metapa aria (Moore),Matapa aria,Matapa aria,,Spelling mistake
Metapa druna (Moore),Matapa druna,Matapa druna,,Spelling mistake
Miletus,,NA,,No species name
Miletus nr. mallus DL-2008,Miletus mallus,Miletus mallus,,Synonym
Miletus sympthus petronius (Distant & Pryer),Miletus symethus,Miletus symethus,,Spelling mistake
Mimene toxopei,,,,
Minois  dryas,Minois dryas,Minois dryas,,Typo
Minois bipunctata dryas,,Minois dryas,,Synonym
Minois nagasawa e (Matsumura),Minois nagasawae,Minois nagasawae,,Synonym
Moduza,,NA,,No species name
Moduza procis procis,Moduza procris,Moduza procris,,Spelling mistake
Monodontides cara,,,,
Monodontides hondai,,,,
Monodontides kolari,,,,
Mooreana trihonevra pralaya (Moore),Mooreana trichoneura,Mooreana trichoneura,,Spelling mistake
Mycalesis,,NA,,No species name
Mycalesis  francisca,Mycalesis francisca,Mycalesis francisca,,Typo
Mycalesis  gotama,Mycalesis gotama,Mycalesis gotama,,Typo
Mycalesis franscisca formosana Fruhstorfer,Mycalesis francisca,Mycalesis francisca,,Spelling mistake
Mycalesis fulginia gotama,Mycalesis gotama,Mycalesis gotama,,Synonym
Mycalesis giamana,,,,
"Mycalesis Hubner, 1818",,NA,,No species name
"Mycalesis Hübner, 1818",,NA,,No species name
Mycalesis indet.,,NA,,No species name
mycalesis janardana sagittigera Fruhstorfer,Mycalesis janardana,Mycalesis janardana,,Typo
Mycalesis junonia,Mycalesis patnia,Mycalesis patnia,,Synonym
"Mycalesis junonia Butler, 1868",Mycalesis patnia,Mycalesis patnia,,Synonym
Mycalesis perdiccas francisca,,Mycalesis francisca,,Synonym
Mycalesis persius blasius (Fabricius),Mycalesis perseus,Mycalesis perseus,,Spelling mistake
Mycalesis pitana,Mycalesis marginata,,,Synonym?
"Mycalesis pitana Staudinger, 1897",Mycalesis marginata,,,Synonym?
Mycalesis sp. UMKL JJW0252,,NA,,No species name
Mycalesis sp. UMKL JJW0466,,NA,,No species name
Mycalesis spec.,,NA,,No species name
"Mycalesis suavolens kagina Fruhstorfer, 1908",Mycalesis suaveolens,Mycalesis suaveolens,,Spelling mistake
Mycalsis frederici,,,,
Mydosama anapita,,Mycalesis anapita,,Synonym
Mydosama fuscum,,Mycalesis fuscum,,Synonym
Mydosama marginata,Mycalesis marginata,Mycalesis marginata,,Synonym
Mydosama spp.,,NA,,No species name
Mynes aroensis,,,,
Mynes doubledayi,Mynes doubledaii,,,
Nacaduba,,NA,,No species name
Nacaduba aluta nanda,Prosotas aluta,Prosotas aluta,,Synonym
Nacaduba calavria malayica Corbet,Nacaduba calauria,Nacaduba calauria,,Spelling mistake
Nacaduba schneideri,,,,
Nacaduba urava nemana Fruhstorfer,,Nacaduba kurava,,Spelling mistake
Napeogenes,,NA,,No species name
Narathura  japonica,,Arhopala japonica,,Synonym; Typo
Narathura bazalus,,Arhopala bazalus,,Synonym
Narathura bazalus (Hewitson),,Arhopala bazalus,,Synonym
Narathura bazalus turbata,,Arhopala bazalus,turbata,Synonym
Narathura bazalus turbata (Butler),,Arhopala bazalus,turbata,Synonym
"Narathura bazalus turbata (Butler), 1882",,Arhopala bazalus,turbata,Synonym
"Narathura bazalus turbata (Butler, [1882])",,Arhopala bazalus,turbata,Synonym
"Narathura bazalus turbata (Butler, 1881)",,Arhopala bazalus,turbata,Synonym
"Narathura bazalus turbata (Butler, 1882)",,Arhopala bazalus,turbata,Synonym
"Narathura bazalus turbata (Butler,1882)",,Arhopala bazalus,turbata,Synonym
Narathura japonica,,Arhopala japonica,,Synonym
Narathura japonica (Murray),,Arhopala japonica,,Synonym
"Narathura japonica (Murray, 1875)",,Arhopala japonica,,Synonym
"Narathura Japonica (Murray, 1875)",,Arhopala japonica,,Synonym
"Narathura Japonica (Murray, 1876)",,Arhopala japonica,,Synonym
Narathura japonica japonica,,Arhopala japonica,,Synonym
"Narathura japonica japonica (Murray, 1875)",,Arhopala japonica,,Synonym
"Narathura japonica japonica (Murray,1875)",,Arhopala japonica,,Synonym
"Narathura japonica japonica(Murray, 1875)",,Arhopala japonica,,Synonym
Narathura japonica kotoshona,,Arhopala japonica,,Synonym
Narathura paramuta horishana,,Arhopala paramuta,,Synonym
Narathura turbata bazalus (Butler),,Arhopala bazalus,turbata,Synonym
Neohesperilla,,NA,,No species name
Neolycaena (Rhymnaria) tangutica (Grum-Grshimailo 1891),Neolycaena tengstraemi,,,Synonym?
Neope  goschkevitschii,Neope goschkevitschii,Neope goschkevitschii,,Typo
Neope  niphonica,Neope goschkevitschii,Neope niphonica,,Typo
Neope agrestoides,,,,
Neope bremeri  taiwana,Neope bremeri,Neope bremeri,,Typo
Neope contrasta,Neope muirheadii,Neope muirheadii,,Synonym
Neope muirheadi nagasawae,Neope muirheadii,Neope muirheadii,,Synonym
Neope muirheadi nagasawae Matsumura,Neope muirheadii,Neope muirheadii,,Synonym
"Neope muirheadi nagasawae Matsumura, 1919",Neope muirheadii,Neope muirheadii,,Synonym
Neope ramosa,Neope pulaha,,,Synonym?
Neope serica,Neope yama,,,Synonym?
Neope shirozui,,,,
Neopithecops,,NA,,No species name
Nephargynnis  anadyomene,,Argynnis anadyomene,,Synonym; Typo
Nephargynnis midas anadyomene,,Argynnis anadyomene,,Synonym
Neptini,,NA,,No species name
Neptis,,NA,,No species name
Neptis  alwina,Neptis alwina,Neptis alwina,,Typo
Neptis  pryeri,Neptis pryeri,Neptis pryeri,,Typo
Neptis  sappho,Neptis sappho,Neptis sappho,,Typo
"Neptis aspasia (Leech, 1890)",Phaedyma aspasia,Phaedyma aspasia,,Synonym
"Neptis clinoides De Niceville, 1894",Neptis clinioides,,,
Neptis heliodore,Phaedyma amphion,Phaedyma amphion,,Synonym
Neptis intermedia sappho,,Neptis sappho,,Synonym
Neptis melba melba,Neptis armandia,Neptis armandia,,Synonym
Neptis palnica,Neptis soma,Neptis soma,,Synonym
Neptis sappha,Neptis sappho,Neptis sappho,,Spelling mistake
Neptis sp. UMKL JJW0276,,NA,,No species name
Neptis spec.,,NA,,No species name
"Neptis venilia (Linnaeus, 1758)",,Pantoporia venilia,,Synonym
Neptis yerburyi Butler,Neptis yerburii,Neptis nata,yerburii,Synonym
Notocrypta,,NA,,No species name
Notocrypta cruvifascia corinda Evans,Notocrypta curvifascia,Notocrypta curvifascia,,Spelling mistake
"Notocrypta de Nicéville, 1889",,NA,,No species name
"Notocrypta sp. de Nicéville, 1889",,NA,,No species name
Notoctypta curvifascia curvifascia,Notocrypta curvifascia,Notocrypta curvifascia,,Spelling mistake
Notoctypta curvifascia curvifascia ( C. & R. Felder),Notocrypta curvifascia,Notocrypta curvifascia,,Spelling mistake
Nymphalidae,,NA,,No species name
NYMPHALIDAE,,NA,,No species name
Nymphalidae  Apatura,,NA,,No species name
Nymphalidae gen. sp. ACT0778,,NA,,No species name
Nymphalidae indet.,,NA,,No species name
"Nymphalidae Rafinesque, 1815",,NA,,No species name
Nymphalidae sp.,,NA,,No species name
"Nymphalidae Swainson, 1827",,NA,,No species name
Nymphalis  antiopa,Nymphalis antiopa,Nymphalis antiopa,,Typo
Nymphalis  xanthomelas,Nymphalis xanthomelas,Nymphalis xanthomelas,,Typo
"Nymphalis c-album (Linnaeus, 1758)",Polygonia c-album,Polygonia c-album,,Synonym
"Nymphalis c-aureum (Linnaeus, 1758)",,Polygonia c-aureum,,Synonym
Nymphalis canace,,Kaniska canace,,Synonym
"Nymphalis canace (Linnaeus), 1763",,Kaniska canace,,Synonym
"Nymphalis canace (Linnaeus, 1763)",,Kaniska canace,,Synonym
"Nymphalis canace battakana (de Nicéville, 1896)",,Kaniska canace,,Synonym
Nymphalis canace perakana,,Kaniska canace,,Synonym
Nymphalis caschmirensis,,Aglais caschmirensis,,Synonym
"Nymphalis caschmirensis (Kollar, [1844])",,Aglais caschmirensis,,Synonym
"Nymphalis gracilis zephyrus (Edwards, 1870)",,,,
Nymphalis japonica xanthomelas,,Nymphalis xanthomelas,,Synonym
Ochlodes  ochraceus,Ochlodes ochracea,Ochlodes ochracea,,Synonym; Typo
Ochlodes  venatus,Ochlodes venata,Ochlodes venata,,Synonym
Ochlodes flavomaculata,Ochlodes flavomaculatus,,,
Ochlodes ochraceus,Ochlodes ochracea,Ochlodes ochracea,,Synonym
"Ochlodes ochraceus  (Bremer), 1861",Ochlodes ochracea,Ochlodes ochracea,,Synonym
"Ochlodes ochraceus  (Bremer),1861",Ochlodes ochracea,Ochlodes ochracea,,Synonym
Ochlodes ochraceus (Bremer),Ochlodes ochracea,Ochlodes ochracea,,Synonym
"Ochlodes ochraceus (Bremer, 1861)",Ochlodes ochracea,Ochlodes ochracea,,Synonym
"Ochlodes ochraceus (Bremer,1861)",Ochlodes ochracea,Ochlodes ochracea,,Synonym
Ochlodes ochraceus Bremer,Ochlodes ochracea,Ochlodes ochracea,,Synonym
Ochlodes sagitta,Ochlodes venata,Ochlodes venata,,Synonym
Ochlodes venatus,Ochlodes venata,Ochlodes venata,,Synonym
"Ochlodes venatus venatus (Bremer et Grey, 1852)",Ochlodes venata,Ochlodes venata,,Synonym
Ochlodes venatus venatus Bremer et Grey,Ochlodes venata,Ochlodes venata,,Synonym
Ocybadistes flavovittatus,Ocybadistes flavovittata,,,
Ocybadistes flavovittatus vesta,Ocybadistes flavovittata,,,
Odina chrysomelaena,Odina hieroglyphica,Odina hieroglyphica,,Synonym
Ogyris,,NA,,No species name
Oreolyce vardhana,,,,
"Oreolyce vardhana (Moore, 1874)",,,,
Oriens,,NA,,No species name
Oriens spec.,,NA,,No species name
Ornithoptera,,NA,,No species name
"Ornithoptera (Aetheoptera) victoriae subsp. epiphanes Gray, 1856",Ornithoptera victoriae,Ornithoptera victoriae,,Synonym
"Ornithoptera (Aetheoptera) victoriae subsp. regis Gray, 1856",Ornithoptera victoriae,Ornithoptera victoriae,,Synonym
"Ornithoptera (Aetheoptera) victoriae subsp. victoriae Gray, 1856",Ornithoptera victoriae,Ornithoptera victoriae,,Synonym
"Ornithoptera (Ornithoptera) croesus subsp. lydius Wallace, 1859",Ornithoptera croesus,Ornithoptera croesus,,Synonym
"Ornithoptera (Ornithoptera) priamus subsp. poseidon (Linnaeus, 1758)",Ornithoptera priamus,Ornithoptera priamus,,Synonym
"Ornithoptera (Ornithoptera) priamus subsp. priamus (Linnaeus, 1758)",Ornithoptera priamus,Ornithoptera priamus,,Synonym
"Ornithoptera (Ornithoptera) priamus subsp. urvillianus (Linnaeus, 1758)",Ornithoptera priamus,Ornithoptera priamus,,Synonym
"Ornithoptera (Schoenbergia) chimaera subsp. chimaera Rothschild, 1904",Ornithoptera chimaera,Ornithoptera chimaera,,Synonym
"Ornithoptera (Schoenbergia) goliath subsp. goliath OberthÅr, 1888",Ornithoptera goliath,Ornithoptera goliath,,Synonym
"Ornithoptera (Schoenbergia) goliath subsp. procus OberthÅr, 1888",Ornithoptera goliath,Ornithoptera goliath,,Synonym
"Ornithoptera (Schoenbergia) goliath subsp. supremus OberthÅr, 1888",Ornithoptera goliath,Ornithoptera goliath,,Synonym
"Ornithoptera (Schoenbergia) paradisea subsp. arfakensis Staudinger, 1893",Ornithoptera paradisea,Ornithoptera paradisea,,Synonym
"Ornithoptera (Schoenbergia) rothschildi Kenrick, 1911",Ornithoptera rothschildi,Ornithoptera rothschildi,,Synonym
"Ornithoptera (Schoenbergia) tithonus subsp. misresiana de Haan, 1840",Ornithoptera tithonus,Ornithoptera tithonus,,Synonym
"Ornithoptera (Schoenbergia) tithonus subsp. tithonus de Haan, 1840",Ornithoptera tithonus,Ornithoptera tithonus,,Synonym
Ornithoptera sp.,,NA,,No species name
Ornithoptera urvillianus,,Ornithoptera priamus,,Synonym
Ornithopthera chimaera,Ornithoptera chimaera,Ornithoptera chimaera,,Spelling mistake
Ornithopthera goliath,Ornithoptera goliath,Ornithoptera goliath,,Spelling mistake
Ornithopthera meridionalis,Ornithoptera meridionalis,Ornithoptera meridionalis,,Spelling mistake
Orsotriaena,,NA,,No species name
Orsotrioena medus,Orsotriaena medus,Orsotriaena medus,,Spelling mistake
Orthomiella fukiensis,Orthomiella pontis,,,Synonym?
Pachliopta,,NA,,No species name
"Pachliopta atistolochiae interpositus (Fruhstorfer, 1901)",Pachliopta aristolochiae,Pachliopta aristolochiae,,Spelling mistake
Pamiria metallica,,,,
Pamiria sp.,,NA,,No species name
Panara phereclus,,,,
Panchala birmana asakurae,Arhopala birmana,Arhopala birmana,,Synonym
Pantoporia,,NA,,No species name
Pantoporia cnacalis,,Pantoporia hordonia,,Synonym
Pantoporia grimberta,,Pantoporia venilia,,Synonym
Papilio,,NA,,No species name
Papilio  dehaanii,Papilio dehaanii,Papilio dehaanii,,Typo
Papilio  helenus,Papilio helenus,Papilio helenus,,Typo
Papilio  maackii,Papilio maackii,Papilio maackii,,Typo
Papilio  machaon,Papilio machaon,Papilio machaon,,Typo
Papilio  macilentus,Papilio macilentus,Papilio macilentus,,Typo
